Feature,Importance
accident,0.08357342842157789
age,0.08350551677986556
risk,0.07918279200304269
temp,0.0750042226511912
pressure,0.07187550116261113
humidity,0.06852220778605596
vibration,0.06532308089229992
gas,0.06172644398855771
day,0.06120879465375241
workers,0.05972690521681524
speed,0.05830963479026576
severity_score,0.058149084806715726
weekofyear,0.05416071168986918
high_severity,0.048797525482016345
month,0.03563071193233348
service_days,0.02266847551015146
year,0.011907974696166836
sparks,0.0007269875367115763
