term,importance
mesh,0.2964942662391706
cabinet,0.29066170941921654
scoop,0.28386876894480517
shotcrete,0.27328004924595917
mr,0.2681719682262472
rod,0.26239181423538105
moment,0.23546051538318408
operator,0.23055384977172938
causing cut,0.229726291028492
employee,0.2291096690048504
inside,0.21881749605117565
chain,0.21859358054913303
mixkret,0.21627348860363585
finger,0.21590894883894754
face,0.2150182423244348
released,0.2111156990736116
remove,0.20949901339897048
bolt,0.20652617732967832
mechanic,0.20304568711708298
tubing,0.19657520711659368
pipe,0.19594539275929906
plate,0.1955707919508009
left hand,0.19513637495278563
drill,0.1913267977549856
hand,0.1893304160543911
cut,0.18888382567727416
arm,0.18517501217642135
pressing,0.18478522005051962
hours,0.18214361969303902
technician,0.18183523749879277
horse,0.1806088212219019
drawer,0.1795773653521095
fixed,0.17788063408719432
flange,0.1772765558722696
drilling,0.17636923144940966
activity,0.17427914814036205
pump,0.1726029548859386
cover,0.17096579329127123
preparing,0.1708929979783764
engine,0.17068797715694928
steel,0.16903387452689672
transferred,0.16622731812383912
finds,0.1661047771429253
guillotine,0.16587031463264873
employee hit,0.16447896266444595
air,0.16444188071080942
probe,0.1627920181129232
using,0.16076801844278682
close,0.16067434343181372
control,0.15912529654994106
lift,0.15756103102546268
work,0.15730101437106941
chamber,0.1570281556221456
alpha,0.15466984644969503
sling,0.15445406958261404
hands,0.1541891546855879
reports,0.15327382338316417
hydraulic,0.15194949318415585
end,0.1515895948890336
truck,0.15055090248956288
hydraulic filling,0.15019318684887
clinic,0.1501246061736057
pressure,0.15002320018255763
autoclave,0.1498552014662455
coming,0.1461242596030581
tube,0.1454899053663518
paracatu,0.14536263920398879
starter,0.1452618362138455
moves,0.1452114118501155
inner,0.14493825972594387
right arm,0.14493725955923925
time,0.14476372357874104
bp,0.14422772101993395
middle,0.1436969076432965
middle finger,0.1436969076432965
plates,0.14365040500160137
atlas,0.14244813975385054
cell,0.1422085268203103
valve,0.14201495526077607
level,0.14159728902420596
excess,0.1410112288520448
slight,0.1407801926577575
brace,0.14077859638676724
platform,0.13994989068237218
pulp,0.13886288849441203
approximately,0.13840443899285176
